TSNE1,TSNE2,quality
-4.938168,4.587838,5
-6.5199265,40.680573,5
-5.979386,41.028687,5
-20.598518,32.168915,5
-20.998161,31.007172,5
-32.112503,-47.342125,6
-19.2385,2.107308,5
-32.112503,-47.342125,6
0.77994996,51.474174,5
-15.767957,44.441284,5
47.806793,24.062027,5
-24.93571,-4.728601,6
16.67382,-9.123694,6
10.995038,-36.55015,6
54.84844,27.264544,4
-8.775371,43.499542,5
-8.775375,43.499508,5
25.464788,32.91809,5
26.070383,33.455654,5
25.464788,32.91809,5
26.070383,33.455654,5
-41.341095,18.781334,5
-27.521574,46.362076,6
-43.190315,29.254305,5
18.829638,2.8831444,4
-27.477,-2.1951554,6
24.244276,37.29596,5
24.321001,37.22559,5
-2.9287944,51.270702,5
-10.151774,42.39536,5
-22.97381,0.80886036,4
-27.444656,-8.1383095,6
50.738003,27.220055,5
-41.237938,26.074114,4
-20.79928,8.346812,6
-20.799257,8.34679,6
-24.144024,-20.689394,6
-16.386595,5.547348,5
-16.85371,-3.8057408,5
-16.38609,5.5463586,5
16.099178,-9.3236,6
-43.50241,20.029522,5
-15.794127,23.522804,5
-15.794127,23.522804,5
48.465763,24.784529,5
-38.506256,19.214024,5
-29.029692,43.917812,5
-29.12043,43.809566,6
7.653539,6.04815,5
2.5244675,7.4016523,5
-39.771465,22.37656,5
2.419522,41.87872,5
2.4334307,42.159637,5
4.7772646,40.74756,5
-4.48498,0.5941711,6
3.8104043,35.836155,5
-18.098087,9.697343,5
-18.097988,9.697431,5
0.22079729,42.527573,5
-4.318471,17.74423,5
42.87797,-4.3133297,6
-35.495213,-43.161015,7
-54.22846,-6.93616,4
32.29394,-14.580771,7
29.918064,21.361074,5
-16.786144,-3.9320006,5
-10.5402775,4.0239077,5
-10.615312,4.089165,6
54.161625,-13.49837,7
54.161625,-13.49837,7
-0.33219373,42.793106,5
-0.4831547,37.59365,5
35.571983,-13.046625,7
24.524864,-33.734688,6
-12.826436,32.543667,6
48.02514,-13.498134,6
-2.8118231,27.115969,5
-22.635815,30.799696,6
26.29735,32.387756,5
-27.442905,-12.846862,5
-21.271046,26.054438,5
-21.90223,3.315192,5
2.7776196,43.427326,5
-0.12221767,2.4957957,6
-5.819487,31.530754,5
-36.29807,3.3680973,5
-21.071245,18.747236,6
-1.5486784,17.168638,4
-4.568889,-6.8387346,6
51.58469,27.774826,6
-27.85529,22.242584,5
-4.5690956,-6.838303,6
-22.149067,-10.768419,5
-32.54245,-43.83108,7
-24.84019,2.1942852,6
-0.6564687,5.1732564,6
-22.149052,-10.768356,5
-41.085243,29.336958,6
-36.709282,15.416809,6
-36.43287,15.770509,6
-36.835125,16.255865,6
-37.097145,15.669473,6
-41.085243,29.336958,6
48.798054,24.282972,5
50.5289,-14.864197,6
-3.1266978,45.673904,6
62.174034,-9.681437,7
62.174034,-9.681437,7
-52.9061,12.815926,6
-35.55804,19.229656,5
-11.422586,29.87173,5
-26.542528,1.3661973,6
-52.9061,12.815926,6
35.76769,-5.0239744,6
-41.09165,11.578513,6
46.822254,-15.464791,5
-7.791413,35.223022,5
-41.17846,11.184973,6
2.7468097,38.815746,5
28.412464,-6.649723,5
-41.22727,14.820624,5
55.124928,25.585983,5
35.208546,-8.930842,7
-7.9477615,1.3384893,5
-39.535225,31.87914,4
-27.365969,0.011415949,5
-7.725665,0.8962072,5
52.52083,-15.439065,5
43.1881,-12.48967,7
-33.1534,33.128277,4
26.8249,-34.980446,8
-54.122158,11.999771,6
38.767437,-10.423822,6
-8.472011,-12.543608,6
38.965034,-10.679737,6
40.951202,5.5711308,5
-21.704967,25.47,5
23.211433,35.57936,5
-8.471659,-12.543355,6
-54.122158,11.999771,6
38.706635,-10.724265,6
36.991066,-35.0509,8
30.733847,31.106129,7
45.436054,-5.9205923,6
51.792183,22.762638,7
-20.862482,11.611377,5
30.733847,31.106129,7
15.603736,25.53136,5
15.603736,25.53136,5
45.25391,3.6287694,6
-6.3930674,-10.283777,6
-4.30087,-16.323502,7
42.721157,7.428493,5
-4.30087,-16.323502,7
51.947308,20.698368,5
18.258211,19.536444,6
-16.117468,3.6182027,6
60.610813,-12.001052,6
52.960728,-4.6183386,5
10.657597,28.259422,5
-52.571953,10.446777,5
-53.01671,11.251156,5
-52.544514,10.267389,5
-24.567526,-8.664325,6
42.63277,-12.563838,6
-32.42388,24.36203,5
-41.95469,1.7930247,5
-3.3038185,52.564323,5
53.24499,-3.714227,6
-14.209432,28.448164,5
50.970417,17.405285,6
50.9739,17.389275,6
-12.638626,5.093222,6
53.245266,-3.7145598,6
-5.578485,40.30306,6
5.9770575,38.155487,6
6.3694983,42.359127,5
0.44608495,-12.667183,5
-0.1790427,-12.826595,6
16.702946,25.377153,5
12.578689,24.814436,6
10.981916,19.907558,7
12.578792,24.814552,6
10.981916,19.907558,7
15.221694,23.167725,5
-28.413092,12.737936,5
17.920034,24.2567,6
29.450933,40.550224,6
29.450933,40.550224,6
47.91528,-24.4119,7
36.9155,-32.772305,5
58.062782,-9.375108,6
31.546791,-2.6424494,5
42.4997,-28.503569,6
42.499596,-28.503702,6
3.1158094,39.55315,6
-27.480362,-12.225207,5
-29.009691,-16.751017,7
49.99432,-24.388567,7
20.76615,-36.292114,6
5.2333307,0.16273725,5
45.61362,6.802716,6
40.411476,-3.6547668,7
40.642365,-3.7382045,6
35.22028,-21.072245,6
39.933132,-7.6558204,6
39.933113,-7.655817,6
52.843414,-15.776244,6
-11.270054,-18.65315,5
-32.785534,-27.464369,7
48.371254,-22.77626,6
30.14365,11.897632,6
-30.430151,22.846899,6
23.436447,18.272326,6
-30.413359,22.849829,6
-28.674702,13.316144,5
53.287544,-27.261982,5
-3.9671032,-33.23397,6
-31.15183,-28.774822,6
44.11821,6.45992,5
41.083168,-28.31375,7
53.013687,-13.169869,7
57.777164,-10.304522,6
-8.485333,32.965965,5
8.704763,-0.71630937,6
53.805225,-9.0209255,5
51.30854,-10.55407,5
60.854424,-18.143461,7
36.84753,-31.849396,6
60.854424,-18.143461,7
54.542423,-2.9499257,5
36.181316,9.756286,5
36.141018,-18.064007,7
-10.955081,-18.519882,5
24.493124,-9.602778,6
13.2382345,-16.518364,6
-6.142786,31.28351,5
60.870724,-14.20985,6
48.193233,-24.420185,7
42.1197,2.430879,6
36.141224,-18.06404,7
49.37173,-27.529266,6
6.3954167,1.0015435,6
25.869247,-9.318261,6
60.37994,-12.878266,6
25.8952,-10.030567,6
25.775057,-9.709501,6
-1.8458023,6.9784055,5
-42.88889,11.167856,6
-2.121395,7.2404723,6
-23.159225,27.14014,6
-1.8629293,6.5185847,6
29.345057,9.125201,7
-35.59789,-42.917503,8
60.37994,-12.878266,6
29.189999,-4.959974,5
-3.1625102,52.486916,5
53.97517,-8.723237,5
52.032833,-26.195908,7
21.509039,40.558884,5
54.875114,-17.679869,6
54.87513,-17.679825,6
-17.520483,23.489202,5
21.509039,40.558884,5
-11.820848,-10.2070465,6
57.273193,-12.55629,6
54.241947,-17.257763,6
-25.952269,27.499577,5
24.679205,-12.595462,6
32.786175,-6.1292477,6
55.281105,-14.514974,7
40.726173,-29.920233,6
50.504013,3.310898,4
7.4065557,11.8919,6
7.6820946,11.784152,5
-10.844419,36.457485,5
37.8717,-35.222645,7
5.8888135,40.99756,5
26.476479,27.790106,5
40.402657,-27.597475,6
-6.76564,45.027897,5
50.974953,-13.541295,6
-10.633861,-18.516685,5
21.483984,9.222345,7
-28.17433,-24.768131,7
-55.343796,-2.3597338,5
37.37611,-14.651003,7
-55.343796,-2.3597338,5
-28.17433,-24.768131,7
-25.133026,-27.306168,6
-24.93547,21.02812,6
27.95298,-2.1619115,5
56.266705,-18.899815,6
37.559425,-14.860535,7
-6.7463875,25.757599,5
43.159306,-25.770983,6
58.21234,-6.585251,5
42.01276,4.9549007,6
58.087643,-6.5945296,5
-1.0526896,26.444736,6
49.654152,-17.935963,6
42.01276,4.9549007,6
-12.03996,24.620407,5
51.150063,-9.431826,8
49.695194,-16.001436,6
62.259125,-16.154598,7
35.088455,-26.286982,7
-26.989494,-33.670017,7
-25.0345,20.158798,6
45.53438,4.8128858,5
28.189734,-18.884172,5
-16.123938,14.316132,6
56.388363,-14.287408,6
56.388363,-14.287408,6
52.374626,23.696459,6
-40.147392,9.729535,6
47.498627,-18.50718,7
4.3702397,-25.948366,5
49.930286,-26.88657,8
15.617758,-4.6441474,5
15.69704,23.839928,5
47.498806,-18.507362,7
56.296482,-2.8855705,3
29.792559,-24.390976,6
-20.471527,17.462534,5
39.351612,-24.556032,5
-0.04857465,52.58324,5
49.62214,-6.809815,6
34.58543,-9.979992,5
24.254902,8.817792,6
22.6159,-35.59376,6
58.219498,-7.6556835,6
-24.419968,37.080547,5
57.39696,-13.764671,5
23.397352,9.197644,6
44.723034,5.051667,6
33.41091,-14.471293,5
41.974022,-6.083098,6
-22.944784,20.357677,5
28.348042,-8.9628525,5
36.62303,-16.187138,6
-22.94469,20.357527,5
-24.122896,19.63617,6
29.505198,41.677425,5
35.94185,-19.464848,8
41.369503,-1.4008752,5
41.368916,-1.4063787,5
44.541992,-27.503128,6
12.964814,3.2285147,5
12.964597,3.2284918,5
13.0531435,2.6801498,6
44.204678,7.196958,7
33.65297,-7.5662436,6
11.6647625,23.701786,6
22.426392,-34.68639,7
23.016935,-34.69377,7
9.515656,20.07631,6
27.605513,36.006084,6
39.418682,-20.99316,8
-31.39055,15.520465,6
5.6241393,-12.8596945,5
39.418827,-20.992525,8
9.515656,20.07631,6
-31.388222,15.519964,6
42.779514,12.167149,7
42.779556,12.167119,7
36.78829,-15.663205,7
35.985394,-15.734919,7
39.35344,-26.473858,7
36.05214,-15.030276,7
54.634003,-3.700277,6
17.765562,22.035475,6
57.799244,-15.071843,7
50.530117,3.2740297,5
17.765562,22.035475,6
44.59724,-0.6957431,6
41.477997,-26.396326,7
41.477997,-26.396326,7
26.586142,27.691692,5
51.944866,-24.253113,6
51.111195,16.413439,3
39.19071,-23.556265,6
6.3151016,-13.400104,5
34.78837,-9.175846,6
-4.2482896,5.0452476,5
15.75893,6.6576095,5
8.725283,42.590794,5
8.008489,40.109707,5
16.918139,23.180733,5
6.315146,-13.399939,5
6.035933,-14.394161,6
0.14294924,7.859474,6
-16.705671,21.30135,5
32.15285,-10.808905,6
56.065037,-11.617545,5
56.065037,-11.617545,5
21.904388,-30.562765,6
16.97461,18.096716,6
32.15285,-10.808905,6
-16.705671,21.30135,5
-25.869772,23.471962,6
53.75429,-24.800177,7
51.043205,-22.12494,5
15.733753,20.328794,5
38.210766,-36.043472,6
-18.141989,21.727764,5
19.805822,18.330105,6
60.702957,-8.628592,6
11.016097,45.9025,5
-44.56416,9.125716,6
36.38551,-12.831285,6
44.785973,4.5534873,6
49.824944,16.18573,6
-27.66269,2.7825668,6
29.308151,9.8792,6
29.544786,10.351846,6
-37.86749,-38.392002,5
63.074593,-16.693739,5
63.074593,-16.693739,5
52.600266,-22.048882,6
63.21078,-16.199802,5
52.600266,-22.048882,6
53.13031,-25.41597,6
52.45222,-18.521029,5
7.9604425,40.84256,5
11.056096,46.08055,5
6.206997,4.4606996,6
53.130367,-25.41603,6
52.45222,-18.521029,5
48.54776,17.715782,6
48.54776,17.715782,6
51.107334,18.731995,6
-25.747461,-44.649433,6
36.894527,-10.193427,6
-25.747461,-44.649433,6
41.54147,-13.830992,5
13.433943,12.02177,4
40.23776,5.9159718,6
43.880127,5.1180973,6
15.838144,-3.1049626,4
7.620087,38.969116,5
7.6906457,38.589188,5
35.084446,1.683826,6
58.560154,-5.110327,5
58.560154,-5.110327,5
58.127243,-4.591191,5
49.06025,-7.6195097,7
44.41443,8.726744,7
-32.77794,14.59454,6
42.859158,-2.9393973,7
-8.885745,37.62242,5
-30.696243,-47.192173,8
40.84036,-15.995617,7
8.241677,10.717925,5
-3.9036007,-33.028385,6
8.241677,10.717925,5
55.468773,-1.4852971,5
-29.303474,26.733665,5
23.949625,36.304398,5
54.609486,-6.9790864,6
48.76332,-11.417456,6
-17.121874,15.038638,6
53.67079,-6.334073,6
-44.311172,31.404318,4
56.117035,-6.541677,6
-42.694027,25.386116,5
55.933147,-6.391662,6
-8.991678,28.831413,6
-20.978458,16.95123,6
35.165127,-34.25899,7
5.498546,13.712438,6
20.391336,28.29402,6
-24.67911,-44.590767,6
6.4232616,7.454557,5
56.14325,-7.7485986,5
-35.654,11.066315,6
26.26144,-12.604325,5
32.272537,16.345682,6
9.763861,13.85331,5
9.763861,13.85331,5
43.37141,-4.0032268,6
51.88197,-13.465992,5
46.55909,-5.867462,5
3.2724762,38.0518,5
3.08485,37.46478,5
-16.24799,20.747204,5
-2.5445936,-18.15753,6
-34.788055,37.981018,5
-34.788055,37.981018,5
-12.257509,19.047464,5
-12.257509,19.047464,5
-19.119844,17.026941,6
-9.430987,36.916862,5
-19.119799,17.026995,6
41.490417,-8.729761,5
-21.079615,-8.074269,6
8.61952,22.133896,4
-5.2728953,10.528017,5
-24.90225,36.94667,5
4.857706,48.84672,5
4.6150937,48.870983,5
-46.291523,28.164135,7
13.84012,-15.292285,6
12.338011,11.96788,5
10.340397,12.792366,5
12.338011,11.96788,5
10.340397,12.792366,5
12.455619,12.461557,5
-51.2275,20.738771,7
-43.298294,-4.6457806,5
-38.895813,-9.595019,4
24.517025,-18.972872,7
27.535192,35.44787,6
49.668934,-3.765948,5
6.725216,49.61231,5
51.6143,-28.49477,5
40.346813,-24.76131,6
29.651075,-4.2977114,5
17.380064,20.416069,5
49.669075,-3.7660012,5
46.42379,0.57422245,7
-30.676321,11.1172695,6
-47.87609,-12.797912,4
-30.676321,11.1172695,6
-8.126748,4.5496216,5
-31.73157,10.609388,6
40.514168,-15.92823,6
57.3222,-11.988651,5
19.431337,22.021423,5
49.86919,17.085535,6
49.45895,-6.022251,6
12.817101,4.6499376,5
49.45895,-6.022251,6
-6.9287543,-6.035271,5
-19.983765,21.778997,5
4.471611,50.43924,5
-19.983765,21.778997,5
47.64543,-6.1728444,6
33.39837,-5.990461,5
47.647102,-6.1693006,6
-38.227455,24.126131,5
4.036703,22.058044,5
34.75405,2.300266,5
56.365086,-5.942818,5
-13.371299,9.892826,6
4.066903,0.49184272,5
-41.172924,-10.04668,5
4.70052,49.55499,5
-41.17286,-10.046633,5
-34.39647,17.27097,5
15.469056,19.190262,5
-36.841015,1.812304,5
24.426275,1.0163851,5
-56.945072,-6.3211565,3
8.361229,22.68807,5
52.707024,24.859919,5
5.977649,39.64907,5
6.2004876,40.446228,5
-31.074907,-41.14765,6
-43.41152,14.183296,6
-43.976818,13.734188,6
14.88774,22.135328,5
48.830746,-15.068179,6
10.636222,29.466276,6
-43.976818,13.734188,6
-43.91349,14.559402,6
4.138616,5.0191646,4
-27.651299,18.249422,4
-51.345505,23.446045,5
-43.862656,23.01796,5
-22.053936,-8.6511965,5
-30.690678,-9.9550295,6
34.532845,-5.4782834,6
10.621443,29.502102,5
7.0464797,36.31632,5
-30.458689,28.434835,5
2.143189,10.265186,5
10.178916,26.73171,5
-17.604328,7.8165054,6
2.143189,10.265186,5
-11.548171,12.953702,5
-23.561356,14.496143,5
-38.12426,20.458492,5
-23.561289,14.496176,5
10.489682,44.232063,5
-11.462161,12.903803,5
32.79844,20.710716,5
-56.2717,-6.6157856,4
-23.313576,17.530443,5
-32.756413,25.459011,6
-45.85809,13.94089,5
-45.85809,13.94089,5
-29.009176,-25.435507,6
52.81748,22.079155,5
-59.73114,-3.9151049,5
-43.214172,23.866318,5
-3.4677489,2.7958045,5
-32.505856,15.46171,5
-44.31866,29.405851,5
-44.31866,29.405851,5
-31.816221,30.906563,6
10.414635,43.670723,5
-30.448277,29.742865,5
-42.194084,-11.811571,6
5.796325,43.3689,5
-44.796303,14.7736635,5
37.486454,7.5351977,5
37.024193,7.6052485,5
-45.86563,9.538373,6
3.0984082,9.625805,6
3.8535357,9.34585,5
-46.086185,9.063892,6
-45.86563,9.538373,6
-27.493858,27.626171,5
-27.42353,27.872828,5
-2.8925529,8.763652,5
-27.784456,27.712814,5
53.17102,23.991247,6
-54.62533,-3.8313231,6
-53.56901,-6.3907037,6
-43.168755,27.920532,5
-43.168755,27.920532,5
11.2242985,43.644287,5
1.8469983,36.840923,5
-15.486742,18.417349,5
-28.455187,18.095798,6
-15.48684,18.41736,5
-28.621656,29.254383,6
-28.620016,29.416428,6
-9.597954,29.508541,5
7.009503,35.44536,5
-25.498741,48.88543,6
-41.355354,21.764544,5
-25.498741,48.88543,6
4.797136,44.807438,5
4.881035,43.750607,5
24.035727,1.9010944,6
24.044708,1.8880833,6
-45.14233,25.337961,5
-41.313927,0.44016826,6
-41.364014,0.75734556,6
17.395987,-6.580131,5
-23.95583,48.706646,5
-41.391464,2.402757,6
-49.751125,9.9313755,5
11.84634,25.556025,5
-49.751125,9.9313755,5
-24.624172,48.085293,5
33.084305,4.5047703,5
33.08416,4.50479,5
18.768866,20.759142,6
18.768866,20.759142,6
7.290549,45.512386,5
3.9493916,5.106529,6
5.856694,44.62185,5
-23.605753,47.258263,6
-37.24262,-7.0481815,5
24.516092,-40.470055,6
32.102306,15.78921,5
28.003351,11.944524,5
14.301106,-20.228937,7
17.916048,-4.528418,6
17.916082,-4.528464,6
4.5272274,34.364727,5
-22.904984,15.455994,5
-34.541424,-44.539368,7
-11.479358,15.174822,6
-17.427124,12.421077,6
18.93243,-37.22989,7
18.165617,-37.252808,7
18.93243,-37.22989,7
23.712734,3.5069506,5
-16.01707,11.351896,6
-34.481018,-3.161806,5
52.36432,-16.68,6
26.081505,9.587849,5
8.834091,-39.300243,4
55.868332,-15.779296,6
26.081375,9.588141,5
17.984846,-3.3117137,6
22.340061,-29.380083,6
-34.02817,19.55771,5
-28.020342,30.30065,5
-33.46998,6.4855504,5
-30.92891,-46.328262,7
-48.38273,8.467371,5
-48.38273,8.467371,5
-15.955397,10.983076,5
-22.53202,-8.319933,5
12.644787,-36.324272,7
-22.531332,-8.318785,5
-12.948199,-25.179935,8
-25.235334,-30.559898,6
-37.863483,-7.284726,4
-25.235334,-30.559898,6
19.603941,12.439575,3
19.694132,12.373906,4
-21.803864,27.333296,5
-18.39234,37.008408,5
-4.507584,-34.66967,7
-4.507584,-34.66967,7
32.834957,-16.854658,7
-25.083467,-3.9907978,5
35.329395,-24.346468,7
-44.21866,-7.824119,5
22.605156,10.861746,6
-7.0860996,35.571754,5
13.528496,-18.90806,6
-48.720673,6.652619,5
-49.176178,7.110636,5
-43.96367,10.77049,6
-49.176178,7.110636,5
-48.26407,7.1104827,5
27.590633,-4.354555,5
27.590633,-4.354555,5
29.996347,22.798937,5
6.201567,-9.251345,6
6.201567,-9.251345,6
-38.17141,-13.991602,7
6.201567,-9.251345,6
9.547422,-25.122063,7
36.571194,-1.2927834,7
-11.496108,-29.986788,6
-25.794758,45.74692,5
-38.708054,-38.910954,6
-15.08036,10.588975,5
-25.40532,46.732464,5
-26.151655,46.465435,5
-24.975058,45.68242,5
-11.034864,-30.71539,6
-10.712567,-30.25733,6
-11.198927,-29.746109,6
-23.32101,-21.227924,6
-26.018736,-23.4157,6
-19.416603,-23.806774,5
-3.8180668,-5.0694914,4
21.393366,-43.347633,7
36.80276,-26.719128,7
25.444424,-30.62715,7
-33.090164,-9.784195,4
-26.018787,-23.415684,6
15.4655905,31.683594,6
-26.240269,47.566845,5
-16.69988,15.787774,5
-24.669739,-22.175322,6
28.140657,-31.5897,6
-25.490496,47.54226,5
15.4655905,31.683594,6
-26.820175,21.812172,5
-26.947935,21.886385,6
22.52148,8.089544,7
-21.298958,-22.88997,6
20.63784,29.599766,5
-3.3998938,-5.4494953,5
-24.604218,46.479275,5
29.449354,-1.7454702,6
-23.97741,46.1305,5
-24.48115,47.244354,6
-21.921114,-21.528517,6
9.152935,-29.408268,7
-22.25248,-21.63943,6
9.152883,-29.408283,7
-59.532116,-4.1077313,3
13.275014,-31.864138,5
-48.606045,4.1878004,7
-48.60612,4.1877756,7
-45.566402,-15.465713,7
-45.566418,-15.465731,7
2.2278445,37.612064,5
-3.5333414,19.53631,5
-30.946337,-33.133816,6
-19.76699,-22.372482,6
15.274528,-43.448807,6
31.71783,-37.77948,6
29.206453,1.7062159,6
33.218075,-27.116913,6
33.696396,-36.43249,7
15.2744255,-43.448696,6
16.327131,-37.815174,6
-35.190052,-22.087543,5
27.091118,38.158325,6
4.416547,-15.127995,6
-12.441688,-23.827255,6
31.685434,-5.45918,5
4.416576,-15.128148,6
-12.441688,-23.827255,6
27.091118,38.158325,6
16.8606,-24.385075,5
8.030694,-10.680363,7
8.423131,-9.726256,6
-9.36824,31.84275,4
16.8606,-24.385075,5
18.928333,-34.366043,7
-52.549786,8.68737,5
-41.83384,12.71472,5
-0.69715333,-0.31657797,6
-42.011963,12.500192,5
-52.5498,8.687391,5
7.7544923,-25.972124,6
7.7544923,-25.972124,6
48.464375,-11.135306,4
8.011865,-30.834616,7
-29.886091,-34.075306,5
21.48684,-33.443607,7
33.698994,-38.41151,7
29.853035,7.396991,7
29.596216,6.85881,7
29.70762,-35.06406,7
32.811787,-19.51628,7
36.52464,-31.806505,7
17.915781,-39.662823,7
16.417488,-31.9991,7
16.27705,-31.647299,7
16.556099,-31.764585,7
17.915905,-39.663002,7
13.816338,-36.19842,7
22.442701,-38.84979,7
11.312434,-40.39278,6
22.288895,-13.439191,5
14.422686,-39.185444,6
28.86615,-23.679731,6
-19.276295,-20.645145,7
-33.818996,10.201643,5
16.318066,-23.310453,6
-27.608492,7.2600365,5
-34.85536,7.7900996,5
23.03188,-25.410471,6
16.318066,-23.310453,6
6.478917,-20.807737,6
36.00262,-27.849115,7
7.196313,45.8391,5
5.5628037,-30.5689,6
-41.784763,-3.8834589,5
34.705116,-13.979976,6
34.705204,-13.980313,6
36.32754,-26.343706,7
10.283609,-35.060806,5
35.307606,-36.612,7
-0.27020183,-2.8138275,5
-0.27020183,-2.8138275,5
8.784064,44.82485,5
7.433794,-42.906315,7
46.557842,-11.863576,5
26.193207,-17.057425,6
-23.495245,23.637085,5
-8.288713,-24.188206,6
26.19342,-17.056671,6
46.557762,-11.863663,5
-34.094563,-10.990121,6
22.034811,-42.030777,7
-1.1403738,-2.77023,5
-11.472511,9.670358,5
25.139145,-23.717827,6
-11.472532,9.67028,5
-1.4563068,-1.765455,5
-7.315512,-3.1683583,6
-1.8338118,-2.2030356,5
35.9803,7.31615,5
-36.929726,10.438147,6
-30.211975,-36.927086,7
-30.211975,-36.927086,7
-19.520378,23.106417,6
-23.128765,-38.279373,6
9.06378,-37.674652,7
12.928987,-18.262379,7
17.978281,-28.106245,7
11.12503,-46.00116,7
-8.078817,-6.2096205,5
11.12503,-46.00116,7
17.863468,-28.554407,7
18.526968,-28.23441,7
29.586668,-34.50789,7
23.809622,10.749721,5
18.630589,-40.817398,7
25.083948,-23.006004,6
-44.200813,30.501432,5
-36.581577,11.914444,6
-34.826874,-8.318822,6
33.673893,-20.014313,6
20.480654,-34.07439,7
-2.3631783,-34.521732,6
-2.3631783,-34.521732,6
-46.217762,4.7964673,5
38.923645,-28.418333,6
38.923645,-28.418333,6
-34.776443,-3.2029066,5
16.747894,-39.595375,6
-30.568392,-5.0532618,7
-34.069195,26.84525,6
10.572586,-43.137585,6
-26.645136,-24.917181,5
-1.2920327,-4.9193187,6
-30.61326,-4.79942,7
-33.670338,-12.269169,7
-32.819748,-8.446162,7
-48.63834,22.69874,5
-29.49684,-6.387725,6
-17.668787,25.653702,6
30.228676,-16.744434,7
6.1528144,-31.190727,7
-38.742085,31.075165,5
32.334633,-34.345905,7
-3.3118432,-17.028294,6
-51.88653,-3.4983947,5
-20.564198,-1.345868,6
-3.3118432,-17.028294,6
28.40287,38.873318,7
5.497445,-43.581337,6
-21.582298,-24.567331,6
-25.28174,-18.859741,6
-3.6809146,-8.813069,5
27.934563,-17.589136,6
27.624542,-17.59899,6
-3.6807523,-8.812976,5
52.961205,25.753216,5
-25.391996,-38.34793,5
19.826439,-35.491074,7
-8.309615,31.210484,6
-8.309615,31.210484,6
32.502148,-36.830364,7
12.097441,42.322147,5
22.739332,9.353173,7
32.5021,-36.83036,7
