UMAP1,UMAP2,quality
5.605156,4.8987565,5
8.775544,8.36156,6
1.2812577,3.5239778,5
3.345893,3.7658207,5
-2.3814828,5.8892345,5
6.1784286,5.550543,6
4.205088,4.8506017,6
3.1444507,10.421498,6
-2.8969,5.6488147,4
2.9952812,3.8197854,5
3.0321918,3.8194375,5
-0.5667221,3.8745081,5
-0.52689934,3.818407,5
-0.5650695,3.8564079,5
-0.59768945,3.8797235,5
7.451937,3.5079684,5
7.1068244,2.0353036,6
8.466294,4.2971835,5
-0.5247077,6.311042,4
6.295099,5.2649827,6
-0.65554667,3.8900409,5
-0.5858713,3.8772016,5
2.4355836,3.2269375,5
3.1830118,3.752123,5
6.152195,4.8078866,4
6.5318336,5.72088,6
-2.7636228,5.6559534,5
7.9476533,4.291365,4
5.4156175,4.3142095,6
5.5075703,4.3406477,6
6.513642,6.9648786,6
5.269217,4.8836393,5
5.762636,5.864271,5
5.242713,4.905299,5
4.319617,4.850382,6
8.124151,4.518369,5
4.9659586,3.3046927,5
4.902656,3.375581,5
-2.5434132,5.798043,5
7.286755,3.3003614,5
7.4083567,2.3654492,5
7.353072,2.3925936,6
2.890453,5.81747,5
3.3760386,5.448522,5
7.58759,3.9467905,5
1.3926218,3.8018963,5
1.2968585,3.7412586,5
1.2504005,4.0312505,5
4.1371593,5.917788,6
1.5760916,3.9256983,5
5.4763017,4.3879733,5
5.4345565,4.424538,5
1.4766302,3.6820588,5
4.316271,4.565441,5
-0.60725063,8.488079,6
8.6417675,8.349328,7
9.150487,5.1239047,4
0.74703485,8.750361,7
-0.011099529,4.7646747,5
5.7968183,5.827711,5
4.6307144,5.205532,5
4.689177,5.1811767,6
-0.82731974,9.189218,7
-0.76723593,9.246332,7
1.7551548,3.7156472,5
2.2095497,3.8796945,5
0.17762992,8.706667,7
1.9199756,9.752295,6
4.141882,3.3838327,6
-0.7493439,9.300283,6
2.6537497,4.231875,5
5.76077,2.7253194,6
-0.5694418,3.926356,5
5.0494685,4.0428104,5
5.403146,3.3356614,5
5.65417,4.9246826,5
1.1762674,3.6890135,5
3.695863,5.6520834,6
3.1315272,3.4185545,5
6.910495,4.5313225,5
5.4804783,3.3588948,6
4.2706285,4.3503394,4
4.291095,6.522737,6
-2.6498392,5.660877,6
6.1088395,2.9370475,5
4.314158,6.5472307,6
5.4756227,5.8438206,5
8.681632,8.347434,7
6.1213365,4.9741015,6
3.73631,5.5202665,6
5.483843,5.8456764,5
8.403106,4.2271194,6
6.877151,4.1209292,6
6.8706207,4.124045,6
6.8559213,4.1698194,6
6.828287,4.1432047,6
8.407043,4.2431283,6
-2.559205,5.7964582,5
-0.7883591,9.251821,6
1.6975182,3.8843224,6
-1.4652356,9.324064,7
-1.4511435,9.298482,7
8.241215,2.255082,6
6.4759593,4.2477555,5
3.815307,3.3240218,5
6.2332745,4.8572116,6
8.226796,2.2673705,6
0.46499622,8.2088995,6
6.9703827,3.1598887,6
-0.24762854,9.249673,5
2.7798169,3.1652055,5
7.036875,3.1502335,6
1.5864391,3.910065,5
-0.10358758,7.524648,5
7.176745,3.049451,5
-2.8577068,5.6820455,5
0.27122197,8.353505,7
4.3548408,5.5906935,5
8.288055,4.098723,4
6.3719807,5.0762334,5
4.2883987,5.6984177,5
-1.1015121,9.78852,5
0.13365407,8.905582,7
6.862662,2.4893243,4
2.473298,9.561347,8
8.181753,2.304343,6
-0.27232143,8.62681,6
5.251027,6.4545455,6
-0.2432436,8.611977,6
-0.19493274,7.884793,5
5.6349626,3.1082857,5
-0.6612893,4.06387,5
5.2385025,6.4616103,6
8.208624,2.273949,6
-0.26085433,8.618255,6
1.0362765,10.465328,8
-0.84261465,4.517754,7
-0.84821653,8.552161,6
-2.75727,5.78064,7
5.322442,4.242871,5
-0.84344184,4.482129,7
0.75239134,4.8588667,5
0.7286578,4.9107094,5
-0.39011517,8.130939,6
4.6563697,6.4748306,6
3.5939775,7.0922213,7
-0.29846042,7.835545,5
3.5954015,7.0765243,7
-2.685544,5.8685207,5
0.97916764,5.532349,6
5.4418736,4.937762,6
-1.2832999,9.805059,6
-1.5560108,8.988455,5
1.2718344,3.2140813,5
8.14624,2.3268585,5
8.19631,2.289345,5
8.132898,2.351112,5
6.088488,5.886359,6
0.24195991,8.804465,6
6.724605,2.6153708,5
7.7281857,4.8132434,5
2.355081,3.2952616,5
-1.673258,8.977548,6
4.269509,3.4929006,5
-0.9992734,7.7231727,6
-0.9845497,7.724178,6
4.886361,5.0837092,6
-1.7084587,8.979154,6
2.6580646,3.6697264,6
1.5878701,4.2321043,6
0.994651,3.984138,5
3.2809021,7.4724655,5
3.6843095,7.7533317,6
0.69675773,4.8201556,5
1.1681696,3.137585,6
0.94162667,2.8106437,7
1.2001797,3.1485388,6
0.9720397,2.8557782,7
0.88203967,4.8651557,5
6.1691594,3.5742388,5
1.1733925,6.0884757,6
-1.1110153,3.804158,6
-1.1135993,3.8527036,6
-0.21332195,9.824302,7
0.93024755,10.174758,5
-1.4928758,9.225897,6
-1.2404302,8.615563,5
0.75602525,9.747921,6
0.8039666,9.757062,6
1.5946683,3.9221945,6
5.1225295,4.0843606,5
6.8846264,6.4512024,7
-0.5537098,9.887701,7
2.6922781,9.919745,6
3.256,6.4130344,5
-0.37150365,8.008392,6
-0.53868604,8.458508,7
-0.6838914,8.475945,6
0.8446238,9.158127,6
-0.9455783,7.8788733,6
-0.94814646,7.901151,6
-1.0972226,9.663424,6
5.8524227,7.1589613,5
7.93852,7.3629513,7
-0.45934474,9.782138,6
0.23841937,6.3757663,6
6.105598,2.8295407,6
0.6994465,5.8994164,6
6.061136,2.8734972,6
6.133423,3.2883608,5
-0.6031568,9.998625,5
-0.18061715,3.6933312,6
7.9042807,7.4202332,6
-0.33062533,8.032392,5
0.782438,9.762127,7
-0.947265,9.03197,7
-1.3640844,9.214913,6
3.3586957,3.1589503,5
3.4072351,6.8752937,6
-1.489427,9.302815,5
-0.91251725,8.727557,5
-1.2459229,9.9056015,7
1.0616522,9.858728,6
-1.2404407,9.897876,7
-1.7497989,8.944849,5
-0.13311261,7.329857,5
0.39356154,8.975404,7
5.841414,7.1546054,5
-0.39743677,6.984651,6
2.9150698,7.994164,6
3.6177034,3.2516584,5
-1.2703571,9.852617,6
-0.30101052,9.864458,7
-0.3857389,8.209588,6
0.38191026,9.006212,7
-0.15091443,10.052923,6
3.0740125,6.527421,6
-0.4117476,6.9773555,6
-1.2555962,9.82012,6
-0.4062038,6.9764924,6
-0.3994731,6.9989724,6
3.8087146,5.4166784,5
6.908225,2.76661,6
3.8693225,5.311138,6
5.66824,3.1823246,6
3.8105528,5.4465976,6
0.9723804,6.954419,7
8.594166,8.326626,8
-1.2652302,9.803803,6
0.20207058,7.582042,5
2.3228405,3.3022232,5
-1.5814189,9.405982,5
-0.57277876,10.085835,7
-0.58912146,4.0160527,5
-0.98826766,9.458188,6
-1.0356622,9.488081,6
4.939283,3.2068117,5
-0.5417692,3.977924,5
6.738949,8.408448,6
-0.80922306,8.878852,6
-1.128081,9.441739,6
6.0933075,2.5832262,5
1.3846114,8.397709,6
0.87725383,8.470043,6
-0.82281417,9.210128,7
0.61910385,9.679955,6
-0.13326098,8.062247,4
2.5076492,5.5933523,6
2.5415154,5.5693326,5
3.353573,3.2592218,5
0.94842875,10.483396,7
1.1490752,4.093611,5
-0.5074083,4.280939,5
0.7633652,9.794548,6
2.7596853,3.8533642,5
-1.0170271,8.088363,6
5.85807,7.1336184,5
1.7379675,7.14803,7
7.195459,7.315388,7
9.017485,4.8060436,5
0.040920943,8.786958,7
9.024596,4.7824883,5
7.1846895,7.3051476,7
7.2558255,7.636506,6
5.7618027,2.977852,6
0.2704851,7.401261,5
-1.3415009,9.405216,6
0.07548228,8.765792,7
2.6662283,3.9282556,5
0.7442505,9.8302,6
-1.8649403,9.280876,5
-0.26725143,7.840912,6
-1.8681782,9.263846,5
2.5849235,4.370611,6
-0.6636898,9.484919,6
-0.29132518,7.917806,6
4.7416644,3.486525,5
-1.1615391,8.871645,8
-0.7259587,9.383424,6
-1.2523143,9.886395,7
1.2577233,9.536427,7
8.103793,8.211995,7
5.8194156,2.9796767,6
-0.3596728,8.028309,5
1.3092612,8.916538,5
4.9875665,3.867364,6
-0.80351746,9.071537,6
-0.79922414,9.05613,6
-2.7911258,5.75066,6
6.961211,3.233811,6
-0.5298497,9.265282,7
3.389974,8.550835,5
-0.29452208,10.059134,8
4.663571,4.1210103,5
0.9746828,4.793686,5
-0.54555464,9.290996,7
-1.7794667,8.997686,3
1.3454622,8.869885,6
5.5026793,3.4856398,5
0.88598967,9.715642,5
1.4869767,3.4687085,5
-1.3326691,8.786759,6
0.23632716,8.384727,5
1.4624308,7.1321697,6
2.7146444,9.708871,6
-1.7224203,9.060238,6
6.299281,6.5600424,5
-0.83809686,9.039892,5
1.5880506,7.115321,6
-0.42689317,8.04378,6
0.44022524,8.808599,5
-0.71701294,8.365839,6
5.476209,2.9526966,5
-0.29779273,7.4945154,5
-0.007836327,8.769658,6
5.440472,2.9425511,5
5.8646126,2.9703574,6
-1.0683792,3.8272436,5
0.6665688,9.124836,8
-0.7419162,8.400014,5
-0.7180897,8.501677,5
0.51080865,9.926044,6
4.9895277,2.8895118,5
5.0013833,2.9178467,5
5.0177875,2.8844874,6
-0.26834995,7.939192,7
0.54093575,8.276454,6
1.1534268,3.039145,6
2.6287322,9.678351,7
2.648027,9.598969,7
0.9716268,2.865987,6
-0.80879426,3.861843,6
0.54374444,9.193127,8
4.368799,4.927327,6
2.7964897,7.423022,5
0.47483948,9.208276,8
0.94078636,2.8090818,6
4.3505,5.0031,6
-0.29217166,8.089862,7
-0.33471516,8.078025,7
-0.06173599,8.719287,7
-0.004136793,8.737428,7
0.8794524,9.777018,7
0.061144426,8.766874,7
-1.6771713,9.100856,6
0.9488233,5.4384418,6
-0.8200052,9.05854,7
-0.060609393,8.169544,5
0.94392693,5.434153,6
-0.6132998,8.402149,6
0.6894869,9.786052,7
0.6644656,9.791298,7
-0.40879858,4.645554,5
-0.89611995,9.974099,6
-1.007626,7.628894,3
0.9758595,9.577523,6
2.7702339,7.381844,5
0.3250697,8.415753,6
3.8811984,5.3767505,5
0.042572074,4.740181,5
0.51532376,4.1341386,5
1.1302013,4.2295647,5
0.9224471,5.3606396,5
2.7871609,7.411344,5
2.8991559,7.526454,6
2.8490608,5.7813854,6
5.005166,3.0724955,5
0.34297374,8.357935,6
-0.9946288,8.963975,5
-0.9670156,8.938251,5
2.5325568,9.455809,6
1.078112,5.572541,6
0.29035562,8.366883,6
5.022798,3.0854907,5
5.8789115,3.1217492,6
-0.71897787,10.055803,7
-0.57400244,9.841652,5
1.0468434,5.2142005,5
0.9405354,10.549527,6
5.1077485,3.1076288,5
0.95230967,5.49168,6
-1.455026,9.156187,6
0.5815495,4.288285,5
7.3088403,2.8446856,6
-0.014593813,8.654994,6
-0.34519622,8.022937,6
-0.82015026,7.360071,6
6.3938007,4.797542,6
0.85300714,6.8697677,6
0.7725773,6.8182907,6
7.792109,7.525989,5
-1.2205846,9.844068,5
-1.2330643,9.852326,5
-0.6360623,9.816442,6
-1.2215093,9.878643,5
-0.654258,9.834746,6
-0.6950255,10.070929,6
-0.90675664,9.671379,5
0.9776428,4.21001,5
0.5143403,4.3086696,5
2.9783485,5.84509,6
-0.7013849,10.082494,6
-0.9533432,9.612761,5
-1.0340327,7.598916,6
-1.0367626,7.5980215,6
-1.0954031,7.593435,6
7.8237886,8.324208,6
-0.14968278,8.611995,6
7.87961,8.275708,6
0.42007786,8.846802,5
1.9850125,5.8799644,4
-0.0069924183,7.66683,6
-0.26603457,7.9386415,6
4.9221206,3.9986765,4
1.3679459,4.3444805,5
1.3521138,4.2514324,5
0.5339766,7.820544,6
-1.900773,9.267753,5
-1.9262366,9.264524,5
-1.9350902,9.232099,5
-1.2881765,8.757946,7
-0.211362,7.9144654,7
4.527881,4.7912416,6
-0.5892455,8.404599,7
2.9962304,3.317979,5
8.74549,8.339454,8
0.4539334,9.137782,7
2.5997636,5.577787,5
-0.09090451,3.64043,6
2.5587788,5.5826535,5
-1.7629069,8.914697,5
6.340515,2.5580575,5
-0.9232869,3.8558333,5
-1.7044834,9.154541,6
-1.2951336,9.258081,6
5.0800056,3.5141993,6
-1.6037699,9.513097,6
8.469266,4.315357,4
-1.8099626,9.32691,6
7.9615545,4.31384,5
-1.8130714,9.352047,6
3.8603587,3.2831662,6
5.5165634,3.433113,6
1.1752621,10.385257,7
3.0773602,6.250905,6
0.7633135,4.8773093,6
7.951527,8.301741,6
2.9156668,5.6501346,5
-1.8425727,9.198048,5
6.345811,5.2233567,6
1.2742088,8.330515,5
-0.52777,5.460601,6
2.2727427,5.668876,5
2.2535233,5.6623254,5
-0.7129518,8.5034275,6
-1.094631,8.482554,5
-1.0051243,8.536978,5
1.5913601,3.947449,5
1.7113746,3.9335315,5
4.998673,3.1970084,5
3.5789862,7.2328134,6
6.933686,2.5373259,5
6.9364643,2.51803,5
5.297009,3.4962068,5
5.3428245,3.45307,5
5.241373,3.6287785,6
3.0273697,3.3402667,5
5.2523775,3.6582189,6
-0.9084903,7.9147096,5
5.326791,6.0420003,6
1.0453258,2.9532192,4
3.3436415,5.8514123,5
6.3647246,6.346602,5
0.9885876,3.4980335,5
0.9846817,3.6047153,5
8.062004,4.903814,7
-0.5546652,5.461191,6
2.0371368,5.833267,5
2.2113488,5.6778398,5
2.0258834,5.843967,5
2.214724,5.678934,5
2.0388653,5.8303804,5
8.432984,5.304846,7
8.078399,4.9961867,5
7.673847,5.5752277,4
1.5348376,8.740292,7
-0.7007717,3.8437314,6
-1.4133525,8.763283,5
0.89896184,3.3713655,5
-0.3826612,10.015066,5
0.98715395,9.652796,6
0.2158576,7.607189,5
0.9355982,5.3955116,5
-1.4105829,8.7944975,5
-0.6361598,8.45392,7
6.46712,3.8145857,6
8.453678,5.3852043,4
6.455444,3.8141758,6
4.317551,5.157425,5
6.5002475,3.8773623,6
0.5012583,9.079335,6
-0.87247735,8.856422,5
0.9271368,5.332957,5
-1.0518659,7.5979686,6
-1.4079467,8.755499,6
4.9816337,2.8678157,5
-1.4357166,8.696426,6
4.172089,6.384812,5
5.1397614,3.2860107,5
1.0556178,3.3706949,5
5.1517386,3.321386,5
-1.3064643,8.715731,6
0.78189445,8.180082,5
-1.327051,8.664817,6
7.5061374,3.7919486,5
5.808485,7.083243,5
0.55712813,7.7006125,5
-1.8460066,9.377761,5
5.0955496,4.218443,6
3.1540885,6.2479625,5
7.670624,5.55026,5
0.97993016,3.437181,5
7.6383233,5.52512,5
5.9775743,4.07467,5
1.1170954,5.1792126,5
7.283942,4.53126,5
-0.5633573,6.922153,5
8.996623,5.1541677,3
1.0791901,2.9662147,5
-2.8527567,5.704695,5
1.3431392,4.1847363,5
1.1873784,4.0876956,5
8.521185,8.056084,6
7.1845965,3.6787477,6
7.186858,3.6353667,6
0.97531843,4.9673266,5
-0.7205134,9.386271,6
1.1795428,3.2759097,6
7.1747403,3.6669688,6
7.159957,3.7229154,6
3.0809026,5.680084,4
6.102217,3.3024404,4
8.337584,5.007832,5
7.7369585,4.762412,5
5.445974,5.9022026,5
6.716256,5.9277673,6
0.6637474,8.186196,6
1.2742497,3.1488802,5
1.4979802,4.3451514,5
6.2781916,2.724784,5
3.361782,5.2801805,5
1.2512151,3.194919,5
5.2969146,4.4499655,6
3.39967,5.2857127,5
5.0882626,4.1445637,5
5.3241944,3.6065605,5
7.0390277,2.6578135,5
5.3221693,3.6430626,5
0.7099009,4.2880015,5
5.1257963,4.15546,5
-0.54648703,5.361143,5
9.071747,5.14707,4
5.5358076,3.6241026,5
6.545873,2.6737406,6
7.1299663,3.7547777,5
7.096744,3.7694209,5
7.3089337,7.353912,6
-2.7876477,5.7633605,5
8.118909,5.0457973,5
7.9172583,4.5082545,5
3.8912885,5.564777,5
4.543485,4.7741246,5
8.475536,4.3262777,5
8.472702,4.303188,5
6.6759286,2.6305475,6
0.91587657,4.231685,5
6.147453,2.6508956,5
7.969961,5.7283945,6
1.0681231,3.8250103,5
7.196753,3.6769693,5
0.044914734,7.5430446,5
0.20184022,7.243478,5
7.468541,2.715172,6
3.2781188,5.3600864,6
2.9151475,5.393726,5
7.5045977,2.7357557,6
7.5134788,2.723065,6
6.0993414,2.5728009,5
6.11974,2.577369,5
4.0142803,5.185032,5
6.111572,2.5809312,5
-2.8492613,5.7100368,6
9.132379,4.8571563,6
9.181814,5.109578,6
8.383586,4.303289,5
8.376617,4.2813754,5
0.8956506,4.3141108,5
1.8410587,3.8132284,5
5.0313935,3.2528696,5
6.3196864,3.5694993,6
5.023174,3.2467408,5
6.053688,2.6422598,6
6.042649,2.6330988,6
3.7333949,3.2825792,5
1.7910867,4.180052,5
7.0240464,1.8382809,6
7.4174175,4.1743455,5
7.0268617,1.8431345,6
1.0711217,3.717746,5
1.1146007,3.7718022,5
-0.57851523,6.720075,6
-0.5251748,6.797143,6
8.496365,4.959534,5
7.8467145,4.8726907,6
7.810579,4.8893366,6
4.3844595,4.4587064,5
7.0344267,1.8834827,5
7.415335,4.6123004,6
7.84215,2.5163267,5
1.2381182,3.116143,5
7.8395905,2.487887,5
7.010551,1.8442916,5
0.67724013,7.2404847,5
0.6633834,7.2431335,5
0.9340123,5.4039555,6
0.946441,5.418,6
1.3695282,3.9337094,5
3.0908084,5.644761,6
1.0707847,3.7237375,5
6.9957013,1.9064598,6
7.2283697,5.488557,5
1.9297284,10.033445,6
-0.41047168,5.692595,5
0.8639882,6.7121553,5
2.636148,8.520816,7
4.4714684,4.2920175,6
4.514352,4.261158,6
1.5678755,3.962003,5
5.3509564,3.7016244,5
8.709202,8.351489,7
5.175992,3.8594332,6
5.328312,4.0955105,6
2.8736525,9.965352,7
2.8116934,10.019053,7
2.9666255,9.912226,7
-0.5627454,6.710227,5
5.3193793,4.428014,6
6.773827,5.0958714,5
-0.992268,9.680228,6
1.1778501,6.9263773,5
3.4657385,10.324911,4
-0.751546,9.002149,6
1.184893,6.906,5
4.508027,4.2616134,6
2.262979,9.437608,6
6.439669,4.409594,5
5.952305,2.6027446,5
7.124267,4.4601717,5
8.757523,8.296974,7
7.8521214,2.5082502,5
7.8149815,2.5221028,5
5.322187,4.424785,5
5.4981093,5.908786,5
3.1979039,10.332419,7
5.516238,5.8773503,5
6.1985173,7.5407143,8
7.332587,7.8147616,6
7.5727725,5.584865,4
7.3562903,7.803874,6
1.8701125,6.9549575,3
1.4260217,6.9038954,4
5.3971324,3.2388933,5
5.082072,5.8252587,5
-0.017850336,3.6207967,7
-0.006681788,3.613872,7
1.9534056,9.301008,7
6.3666286,5.4992633,5
1.0402249,9.664369,7
7.947849,5.5207787,5
1.4962255,6.931089,6
2.6742194,3.2800517,5
2.6942647,8.20572,6
7.7852464,2.514162,5
7.815425,2.5161366,5
7.1521707,2.6440513,6
7.791031,2.54026,5
7.780811,2.5207052,5
0.1871907,7.4697065,5
0.2263007,7.46936,5
-0.5131094,5.2454967,5
2.1804035,7.134133,6
2.200298,7.142703,6
8.064341,6.556022,7
2.2029622,7.1367545,6
3.1638038,8.868451,7
0.51346755,8.0921135,7
6.434435,8.062665,6
7.0484414,2.1673474,5
8.166397,7.772402,6
5.269318,4.471754,5
7.040006,1.959869,5
7.028979,2.1086328,5
7.019416,2.0970786,5
6.359135,8.101984,6
6.372738,8.109948,6
6.417407,8.050348,6
6.446783,6.9812284,6
6.944671,7.2836127,6
6.2727847,7.154062,5
4.266344,6.427841,4
2.3168714,10.0043745,7
1.0553713,9.665808,7
1.9686095,9.624885,7
7.4522347,6.497398,4
6.9360976,7.2910414,6
1.2793791,4.187145,6
7.033247,1.9288107,5
5.046349,3.5807161,5
6.587144,7.1076016,6
1.8477952,9.750138,6
7.042001,1.9044485,5
1.3421706,4.2569494,6
5.99401,2.9731998,5
6.031368,2.9387426,6
1.6543463,7.2785354,7
6.4057593,7.168313,6
-0.096504055,4.413322,5
4.1901035,6.4530196,5
7.0033374,2.09806,5
0.21945563,7.368679,6
7.0087514,2.0498912,5
7.0225625,1.908387,6
6.4699893,6.983158,6
3.0228744,9.329897,7
6.48513,6.9908276,6
3.0652814,9.36226,7
8.597024,5.0697,3
3.037316,9.57207,5
7.836376,2.8011744,7
7.837267,2.785305,7
8.453595,5.7563205,7
8.473102,5.7403483,7
1.591837,3.8822222,5
3.036407,3.8413873,5
8.201477,7.533531,6
6.2350707,7.0744042,6
3.372613,10.117278,6
1.3509196,10.375801,6
-1.1650976,3.9237978,6
1.4097402,9.827046,6
1.248188,10.463563,7
3.4122388,10.115418,6
2.7602482,10.170474,6
7.9741683,7.1744,5
-1.021357,3.846708,6
2.9860303,7.561699,6
6.1269054,7.5510125,6
0.8487468,8.242773,5
2.9941854,7.563786,6
6.119858,7.5597606,6
-1.0859559,3.8250887,6
2.676325,8.854108,5
2.4209301,7.2818704,7
2.351685,7.233285,6
3.5011246,3.206852,4
2.6988692,8.8675,5
2.6754782,9.791944,7
8.143346,2.3665004,5
7.073475,3.038377,5
3.6438622,5.8939,6
7.0729256,3.065739,5
8.122981,2.3747103,5
3.3096416,8.821792,6
3.3216667,8.813641,6
-1.2744871,9.286888,4
3.1757934,9.320775,7
8.210809,7.678937,5
2.6222036,9.604935,7
1.3537282,10.431344,7
0.83597934,7.1080065,7
0.85955566,6.9491878,7
1.6716218,10.256731,7
0.99799544,9.146714,7
1.0421677,9.91166,7
2.614842,10.194038,7
2.8742151,9.780602,7
2.8432324,9.77244,7
2.8629344,9.757542,7
2.609383,10.214174,7
3.0592656,10.230572,7
1.9995692,9.970258,7
3.3923962,10.323044,6
2.0211115,8.574585,5
3.0239432,10.455302,6
1.4465382,8.956261,6
6.2861867,7.293439,7
6.355063,4.5134907,5
2.6751516,8.749528,6
6.127573,4.247467,5
7.06997,4.376222,5
2.3967273,9.195208,6
2.7004242,8.754471,6
3.2019866,8.134877,6
1.5685833,9.954769,7
1.2245089,3.7641308,5
3.0329669,9.13775,6
7.5349045,4.6175866,5
0.2242125,8.658362,6
0.21603537,8.727737,6
1.0970643,9.669354,7
3.2444465,10.319315,5
1.1717383,10.546384,7
3.4679193,6.042525,5
3.4644985,6.0411186,5
0.8969017,3.9874108,5
3.8327951,10.057026,7
-1.2089553,9.233348,5
1.1790094,8.721747,6
5.512782,3.036771,5
3.2678552,7.842462,6
1.226857,8.725901,6
-1.1891387,9.23935,5
7.764937,6.733769,6
2.1464074,10.058972,7
3.4069643,6.0484705,5
5.0815988,4.233259,5
2.0063899,9.430968,6
5.055093,4.2414393,5
3.4483092,6.0639462,5
4.462256,6.1537924,6
3.4831476,6.034685,5
0.544811,7.0621405,5
6.312814,5.088704,6
8.328273,7.9392157,7
8.349359,7.940676,7
5.1566095,3.2428648,6
7.885751,8.249243,6
3.387698,10.323152,7
2.6075938,7.9386716,7
2.5612853,9.2630625,7
3.652785,9.986882,7
4.133476,6.257922,5
3.5959768,10.040774,7
2.543582,9.317726,7
2.524444,9.282223,7
1.662455,10.0551195,7
1.4124696,6.914503,5
2.6583118,10.235873,7
1.6447256,8.815426,6
8.551276,4.3621836,5
6.406667,5.1794467,6
7.0519137,5.796419,6
0.92838305,9.185779,6
2.7533376,9.576221,7
-0.02832041,3.6123369,6
-0.029975498,3.5993118,6
7.8621244,2.9210656,5
0.7842346,9.823869,6
0.7732007,9.843896,6
7.023828,5.261414,5
2.5994167,10.275463,6
6.6494255,5.528498,7
6.0981503,2.8982642,6
3.6497798,9.896335,6
7.1547074,7.326767,5
3.6369197,6.151916,6
6.6912265,5.518879,7
7.765094,6.7924023,7
7.0743356,5.8786902,7
8.201292,4.768822,5
6.401949,5.7140484,6
4.805885,3.068516,6
0.9862756,8.747151,7
3.1426764,9.268315,7
8.218501,4.026611,5
1.3409212,10.3163395,7
3.5724194,7.173235,6
8.903791,5.275587,5
5.8200107,5.451322,6
3.5897436,7.1495442,6
-1.1279752,3.8615925,7
3.984796,9.898082,6
